image,positive_phrase,negative_phrase
S_20140409_1723_02_117_05.jpg,reach cup,leave chair
S_20140409_1723_04_024_05.jpg,wash cup,fill cup
S_20131027_1210_02_194_00.jpg,stack rings,throw book
S_20140420_1803_01_400_00.jpg,eat grape,throw grape
S_20130526_0709_04_071_05.jpg,see book,read map
S_20130526_0709_04_071_10.jpg,yellow flower,green tree
S_20140418_1801_02_306_00.jpg,make tea,cook soup
S_20130818_1001_02_026_00.jpg,bright light,dark light
S_20130818_1001_02_026_15.jpg,drink milk,feed kitty
S_20130908_1022_01_012_05.jpg,yellow shapes,blue blocks
S_20130622_0805_06_006_00.jpg,hold cup,drop cup
S_20130622_0805_06_006_10.jpg,hold cup,kick cup
S_20140409_1723_07_036_00.jpg,play sand,play snow
S_20140430_1813_02_257_00.jpg,bed soft,bed hard
S_20141009_2322_01_003_00.jpg,parked cars,moving cars
S_20141009_2322_01_003_05.jpg,car stop,bike stop
S_20140426_1809_09_047_20.jpg,hold box,drop box
S_20140125_1508_01_234_05.jpg,happy face,sad face
S_20140426_1809_02_021_00.jpg,eat banana,drink banana
S_20140426_1809_02_021_05.jpg,banana eat,apple eat
S_20130824_1007_01_099_10.jpg,slide down,jump up
S_20130526_0709_04_089_00.jpg,read book,eat toy
S_20141108_2422_02_104_25.jpg,touch rocks,touch leaves
S_20130919_1102_06_014_10.jpg,more banana,one apple
S_20140430_1813_06_037_00.jpg,walk path,climb tree
S_20131003_1116_03_024_00.jpg,baby bubbles,dog bubbles
S_20131003_1116_03_024_05.jpg,baby smile,dog bark
S_20131019_1202_03_116_15.jpg,sunny day,rainy day
S_20131019_1202_03_116_20.jpg,open mouth,closed mouth
S_20131019_1202_03_116_30.jpg,eat cracker,sip straw
S_20131019_1202_02_007_00.jpg,carry basket,push basket
S_20131103_1217_03_023_00.jpg,climb steps,slide steps
S_20141019_2402_02_165_05.jpg,spread jam,cut bread
S_20141019_2402_02_254_00.jpg,clean floor,messy chair
S_20130508_0621_01_093_10.jpg,eat snack,throw ball
S_20140125_1508_03_252_05.jpg,touch giraffe,move zebra
S_20140409_1723_08_331_05.jpg,look sand,eat sand
S_20130706_0819_04_100_05.jpg,press button,close door
S_20141102_2416_01_131_00.jpg,bunny cute,frog cute
S_20140503_1816_02_095_00.jpg,empty box,full box
S_20130908_1022_01_015_05.jpg,turn knob,push button
S_20140119_1502_03_227_00.jpg,walk outside,ride inside
S_20130911_1025_06_048_15.jpg,light on,light off
S_20141106_2420_03_105_05.jpg,sneaker floor,boot floor
S_20130619_0802_01_137_00.jpg,kitty read,doggy read
S_20130811_0925_03_323_00.jpg,count dogs,pet cats
S_20130811_0925_03_323_05.jpg,count dogs,count lions
S_20141011_2324_05_366_10.jpg,bake dough,paint dough
S_20141011_2324_05_366_15.jpg,wash cup,dry cup
S_20130829_1012_02_041_15.jpg,press bottle,eat bottle
S_20130602_0716_07_034_05.jpg,drop toy,find toy
S_20140409_1723_02_200_00.jpg,stir bowl,close door
S_20130424_0607_01_049_00.jpg,hold spoon,drop spoon
S_20130424_0607_01_049_25.jpg,hold spoon,drop spoon
S_20130928_1111_06_019_00.jpg,get shoes,leave toys
S_20140426_1809_01_020_00.jpg,see mama,hide mama
S_20140405_1719_02_002_10.jpg,walk road,stop sign
S_20130915_1029_02_087_00.jpg,go outside,stay inside
S_20141015_2328_01_092_05.jpg,big rock,big balloon
S_20141015_2328_01_092_25.jpg,see shadow,catch balloon
S_20140119_1502_02_050_15.jpg,grass grow,cloudy sky
S_20130814_0928_03_412_05.jpg,happy paint,sad paint
S_20130814_0928_03_412_15.jpg,baby smile,cat smile
S_20131024_1207_03_118_05.jpg,see flowers,see birds
S_20140420_1803_01_242_00.jpg,touch keys,kick ball
S_20140430_1813_02_377_00.jpg,floor shiny,table shiny
S_20140430_1813_02_377_10.jpg,red robot,big backpack
S_20140503_1816_02_066_00.jpg,water splash,juice spill
S_20131012_1125_04_013_00.jpg,climb up,dig hole
S_20131012_1125_04_013_05.jpg,blue stairs,green stairs
S_20140409_1723_05_034_15.jpg,mix food,drop food
S_20130626_0809_02_003_00.jpg,push cart,pull basket
S_20140420_1803_02_146_00.jpg,open door,close door
S_20140403_1717_09_053_15.jpg,glass door,wood table
S_20130803_0917_05_027_05.jpg,red bag,blue bag
S_20130822_1005_02_020_10.jpg,play keys,paint keys
S_20140426_1809_05_031_10.jpg,draw paper,eat paper
S_20130915_1029_02_081_00.jpg,road trip,water trip
S_20130915_1029_02_081_20.jpg,road tree,river tree
S_20130915_1029_02_081_30.jpg,sunny road,cloudy sky
S_20130724_0907_07_012_00.jpg,eat banana,peel orange
S_20141019_2402_04_353_00.jpg,open door,close door
S_20141019_2402_04_353_25.jpg,floor sunny,floor wet
S_20140406_1720_03_215_00.jpg,basket hold,book hold
S_20131103_1217_01_050_10.jpg,sock foot,bare foot
S_20140123_1506_02_097_10.jpg,big ball,red bear
S_20141108_2422_02_036_00.jpg,open fridge,close fridge
S_20141019_2402_02_110_25.jpg,fridge hum,fridge bark
S_20141108_2422_01_091_05.jpg,toy truck,real truck
S_20130824_1007_01_111_05.jpg,build house,eat block
S_20130824_1007_01_111_20.jpg,open coat,zip coat
S_20140406_1720_01_209_00.jpg,animal puzzle,animal book
S_20141019_2402_02_078_00.jpg,crunchy toast,mushy apple
S_20140423_1806_11_069_00.jpg,picnic eat,picnic play
S_20140418_1801_01_199_05.jpg,big truck,small car
S_20130519_0702_02_032_25.jpg,find book,lose toy
S_20141023_2406_05_061_00.jpg,bang drum,spin drum
S_20141015_2328_02_117_00.jpg,play keys,hug keys
S_20141015_2328_02_117_05.jpg,play letters,read numbers
S_20140423_1806_04_032_05.jpg,sleepy time,standing up
S_20140423_1806_05_153_00.jpg,hold ball,kick ball
S_20140423_1806_05_153_05.jpg,blue ball,red ball
S_20130626_0809_01_069_00.jpg,turn page,draw kitty
S_20130626_0809_01_069_05.jpg,hug kitty,chase kitty
S_20141015_2328_01_379_00.jpg,sunny yard,rainy yard
S_20130724_0907_01_037_00.jpg,jump kitty,sleep kitty
S_20130724_0907_01_037_25.jpg,kitty eat,kitty play
S_20130724_0907_01_037_30.jpg,fluffy kitty,barking puppy
S_20140409_1723_08_150_00.jpg,cup sticks,bucket dog
S_20140409_1723_08_150_05.jpg,sand play,water play
S_20140119_1502_02_042_05.jpg,sunny park,cloudy park
S_20140119_1502_02_042_15.jpg,leaves fall,leaves fly
S_20140119_1502_02_042_30.jpg,sunny day,rainy day
S_20130519_0702_03_003_30.jpg,bounce ball,hide ball
S_20130616_0730_01_034_00.jpg,see tree,see car
S_20130616_0730_01_034_20.jpg,pick plant,throw ball
S_20141026_2409_03_167_00.jpg,walk cup,sit cup
S_20141026_2409_03_167_05.jpg,wood floor,wet floor
S_20130728_0911_04_032_20.jpg,sit grass,jump grass
S_20141108_2422_03_037_00.jpg,eat plate,shout glass
S_20141108_2422_03_037_10.jpg,eat spoon,throw spoon
S_20130720_0903_04_071_20.jpg,glass table,chair table
S_20130720_0903_04_071_25.jpg,empty glass,full glass
S_20131024_1207_01_115_05.jpg,see trees,hide trees
S_20130928_1111_03_078_05.jpg,turn page,catch kitty
S_20130928_1111_03_078_15.jpg,family picture,kitty picture
S_20130824_1007_02_171_00.jpg,read book,hide book
S_20130824_1007_02_171_05.jpg,teddy sleep,teddy run
S_20130928_1111_02_012_05.jpg,climb steps,jump grass
S_20140503_1816_01_094_00.jpg,play music,press button
S_20140503_1816_01_094_15.jpg,press button,pull button
S_20130504_0617_02_141_00.jpg,open door,close door
S_20130612_0726_05_009_15.jpg,bag there,bag gone
S_20130710_0823_04_064_05.jpg,catch ball,hide ball
S_20130616_0730_07_014_00.jpg,broken chair,fixed chair
S_20130616_0730_07_014_15.jpg,floor messy,floor clean
S_20140426_1809_09_089_15.jpg,door open,door close
S_20140409_1723_04_040_05.jpg,clean floor,dirty floor
S_20140409_1723_04_040_15.jpg,fridge shiny,floor messy
S_20140409_1723_04_040_30.jpg,fetch bottle,drop bottle
S_20140403_1717_02_032_00.jpg,see stars,touch ribbon
S_20140403_1717_02_032_25.jpg,star pillow,blue ribbon
S_20141015_2328_02_125_00.jpg,find M,find N
S_20130901_1015_04_144_00.jpg,many cars,one car
S_20141015_2328_01_018_00.jpg,shoe tie,sock tie
S_20140430_1813_01_021_00.jpg,fix puzzle,break puzzle
S_20141011_2324_05_380_15.jpg,wash hands,dry hands
S_20141015_2328_04_032_00.jpg,touch sand,hold water
S_20141015_2328_04_032_05.jpg,beach walk,grass play
S_20140430_1813_07_035_00.jpg,see duck,see frog
S_20141009_2322_01_033_10.jpg,soft grass,hard rock
S_20130619_0802_01_010_00.jpg,baby smile,baby cry
S_20130619_0802_03_030_10.jpg,blue ball,red ball
S_20141019_2402_04_172_00.jpg,mix blue,eat blue
S_20140420_1803_01_299_00.jpg,watch video,read book
S_20141108_2422_02_157_00.jpg,drive car,parked car
S_20141009_2322_01_036_00.jpg,water splash,dry rock
S_20141009_2322_01_036_15.jpg,green grass,yellow flowers
S_20130526_0709_04_052_00.jpg,find mouse,hide cat
S_20131103_1217_01_011_05.jpg,sit chair,stand chair
S_20141015_2328_03_041_00.jpg,shadow wall,shadow sand
S_20141015_2328_03_041_15.jpg,brick wall,sand beach
S_20141009_2322_02_021_05.jpg,blue shirt,green shirt
S_20130915_1029_02_064_00.jpg,stay home,go play
S_20131113_1227_04_019_05.jpg,open snack,close box
S_20140430_1813_04_034_25.jpg,car ride,bike ride
S_20130417_0600_01_007_20.jpg,grab moo,drop moo
S_20140119_1502_03_153_00.jpg,big crack,smooth road
S_20131113_1227_05_030_00.jpg,red book,blue ball
S_20130928_1111_03_013_00.jpg,see cat,hear dog
S_20130630_0813_04_031_05.jpg,spin ball,stop ball
S_20141023_2406_03_197_00.jpg,cut paper,tear paper
S_20140423_1806_03_074_00.jpg,sleepy time,play time
S_20130928_1111_02_001_00.jpg,sit chair,jump chair
S_20130622_0805_01_012_05.jpg,big pot,small box
S_20140420_1803_03_088_00.jpg,banana bowl,bread bowl
S_20140409_1723_08_097_00.jpg,sand foot,water foot
S_20130602_0716_07_077_00.jpg,touch dirt,wash dirt
S_20130529_0712_02_064_00.jpg,blue hat,red shirt
S_20141019_2402_04_266_00.jpg,blue cake,green balloon
S_20141019_2402_04_266_20.jpg,blue icing,green plate
S_20140405_1719_03_343_05.jpg,bike stop,car stop
S_20130508_0621_02_053_10.jpg,ball here,hat here
S_20141019_2402_04_138_05.jpg,mix colors,draw colors
S_20130814_0928_03_208_00.jpg,yellow coat,green coat
S_20141023_2406_03_230_05.jpg,cut paper,fold paper
S_20130417_0600_01_013_20.jpg,basket full,basket empty
S_20130417_0600_01_013_30.jpg,soft toy,hard toy
S_20131031_1214_03_090_15.jpg,spread jam,drink jam
S_20130519_0702_02_075_00.jpg,tree green,cloudy sky
S_20130519_0702_02_075_15.jpg,happy lady,sad lady
S_20140426_1809_06_147_10.jpg,hold paper,drop paper
S_20130905_1019_01_091_00.jpg,toy basket,milk basket
S_20130905_1019_01_091_05.jpg,blue curtain,green curtain
S_20130504_0617_01_141_25.jpg,read book,roll ball
S_20140406_1720_03_079_00.jpg,coin stack,fruit stack
S_20141108_2422_01_123_05.jpg,animal fit,animal jump
S_20140503_1816_02_339_00.jpg,wash pan,break pan
S_20140503_1816_02_339_10.jpg,cook food,paint wall
S_20140409_1723_02_045_05.jpg,cut fruit,roll fruit
S_20131113_1227_04_011_10.jpg,read book,close book
S_20140409_1723_02_130_05.jpg,open fridge,close fridge
S_20130818_1001_01_013_00.jpg,pour water,eat jar
S_20130616_0730_08_034_15.jpg,hold cup,drop cup
S_20130919_1102_02_046_25.jpg,green trees,empty field
S_20130526_0709_04_093_05.jpg,sit chair,stand chair
S_20130526_0709_04_093_10.jpg,bounce ball,sit ball
S_20130622_0805_02_058_00.jpg,dig dirt,climb tree
S_20130622_0805_03_018_00.jpg,plant grow,rock big
S_20140123_1506_04_069_05.jpg,shirt black,hat black
S_20140420_1803_04_004_10.jpg,draw lines,erase lines
S_20130901_1015_01_072_05.jpg,open door,closed door
S_20130417_0600_02_059_10.jpg,walk path,fly bird
S_20130417_0600_02_059_25.jpg,empty road,busy road
S_20141029_2412_01_126_00.jpg,shelf stuff,empty shelf
S_20140409_1723_07_133_00.jpg,sand play,water play
S_20130808_0922_02_059_00.jpg,sparkly cake,cheesy cake
S_20130808_0922_02_059_05.jpg,see cupcake,see cookie
S_20130619_0802_06_034_00.jpg,eat snack,leave snack
S_20130710_0823_01_017_00.jpg,read book,sleep chair
S_20130710_0823_07_042_00.jpg,cut banana,peel apple
S_20130710_0823_07_042_10.jpg,bag full,cup full
S_20130602_0716_02_113_00.jpg,read book,close book
S_20140420_1803_01_406_00.jpg,clean sink,dirty floor
S_20141018_2401_01_079_05.jpg,match blocks,throw blocks
S_20140125_1508_01_191_00.jpg,click mouse,draw mouse
S_20131019_1202_04_010_10.jpg,play outside,stay inside
S_20131019_1202_04_010_15.jpg,sit deck,stand deck
S_20130814_0928_01_033_25.jpg,hug bear,kiss cat
S_20140403_1717_07_089_05.jpg,reach shelf,close shelf
S_20140125_1508_02_093_00.jpg,paint art,open door
S_20141011_2324_04_028_05.jpg,shiny pot,broken pan
S_20131024_1207_04_050_05.jpg,talk loud,sleep quiet
S_20140125_1508_02_023_00.jpg,sit chair,spin dance
S_20130901_1015_05_010_00.jpg,color mat,gray mat
S_20130829_1012_03_028_00.jpg,fly kite,fly train
S_20130829_1012_03_028_10.jpg,see kitty,miss puppy
S_20130922_1105_01_068_00.jpg,green apple,red apple
S_20130922_1105_01_068_10.jpg,eat lolly,drop lolly
S_20130922_1105_01_068_15.jpg,orange book,green book
S_20130706_0819_05_017_00.jpg,cat meow,dog bark
S_20130417_0600_02_047_05.jpg,dry grass,wet grass
S_20130417_0600_02_047_30.jpg,sun bright,rain dark
S_20140125_1508_01_051_00.jpg,hug hippo,drop hippo
S_20130522_0705_01_027_00.jpg,wave hand,eat book
S_20130522_0705_01_027_15.jpg,hold ball,throw ball
S_20130622_0805_06_031_00.jpg,push soap,drink juice
S_20141108_2422_01_043_00.jpg,find plane,lose plane
S_20131031_1214_02_035_00.jpg,play keys,hide keys
S_20141011_2324_05_021_05.jpg,book shelf,cupboard full
S_20140406_1720_02_024_00.jpg,see picture,hide picture
S_20140406_1720_02_024_10.jpg,sit floor,stand floor
S_20141019_2402_02_248_00.jpg,kitchen play,bathroom play
S_20140405_1719_03_371_00.jpg,driveway car,playground swings
S_20130803_0917_03_004_00.jpg,roll ball,throw basket
S_20130803_0917_03_004_20.jpg,touch rug,jump rug
S_20130714_0827_07_053_00.jpg,sit floor,stand floor
S_20140430_1813_02_088_00.jpg,draw dots,erase dots
S_20140406_1720_04_123_00.jpg,markers spill,bubbles spill
S_20140406_1720_04_123_25.jpg,white basket,blue basket
S_20140406_1720_04_123_30.jpg,find toys,eat toys
S_20130529_0712_03_009_00.jpg,count owls,count lamb
S_20130706_0819_04_102_00.jpg,tiger roar,panda roar
S_20130829_1012_05_117_10.jpg,touch fridge,kick fridge
S_20130619_0802_01_002_05.jpg,touch book,leave toy
S_20140405_1719_02_210_05.jpg,play sand,wash sand
S_20140405_1719_02_210_10.jpg,sunset time,rainy time
S_20131024_1207_03_113_10.jpg,see flowers,see birds
S_20141102_2416_02_038_00.jpg,pour oil,spill water
S_20130529_0712_01_005_00.jpg,sit chair,stand chair
S_20130908_1022_03_059_00.jpg,outside play,inside play
S_20141106_2420_03_075_00.jpg,sit here,stand there
S_20141023_2406_03_217_00.jpg,color paper,tear paper
S_20140418_1801_01_327_05.jpg,red door,blue truck
S_20140403_1717_06_138_00.jpg,cut food,drink cup
S_20140418_1801_01_258_00.jpg,cow milk,car milk
S_20140418_1801_01_258_10.jpg,milk cow,water cow
S_20130630_0813_04_060_00.jpg,touch screen,turn page
S_20130501_0614_02_056_05.jpg,tall tree,big car
S_20141026_2409_01_108_00.jpg,press truck,drop truck
S_20130829_1012_01_112_00.jpg,pet kitty,chase dog
S_20141019_2402_04_140_00.jpg,mix green,paint blue
S_20140423_1806_06_011_00.jpg,sunlight warm,dark night
S_20140423_1806_06_011_05.jpg,foot hurt,hand hurt
S_20130808_0922_02_041_00.jpg,pasta book,fruit book
S_20130808_0922_02_041_10.jpg,read book,eat salad
S_20130608_0722_05_050_30.jpg,blow bubbles,catch bubbles
S_20130529_0712_01_033_05.jpg,turtle play,turtle sleep
S_20131027_1210_02_210_00.jpg,hold tight,throw ball
S_20130619_0802_07_010_00.jpg,happy face,frown face
S_20140503_1816_05_102_00.jpg,cat walk,dog run
S_20140420_1803_01_176_00.jpg,pet cat,kick ball
S_20130428_0611_02_055_30.jpg,sit grass,stand tree
S_20140406_1720_03_118_00.jpg,reach basket,close basket
S_20130501_0614_02_069_00.jpg,green grass,blue sky
S_20141011_2324_01_029_05.jpg,press key,turn page
S_20130811_0925_03_306_15.jpg,read book,close box
S_20130811_0925_03_306_30.jpg,turn page,toss page
S_20130626_0809_09_014_00.jpg,stick play,rock play
S_20130626_0809_09_014_15.jpg,hold stick,drop stick
S_20130508_0621_02_022_10.jpg,sit mat,stand mat
S_20130703_0816_09_010_10.jpg,big pipe,small blocks
S_20130612_0726_03_043_00.jpg,read book,sing song
S_20141102_2416_01_083_05.jpg,red balloon,blue balloon
S_20130824_1007_04_020_00.jpg,touch button,turn light
S_20140413_1727_01_088_05.jpg,puzzle cow,puzzle car
S_20130519_0702_01_055_00.jpg,yellow ball,blue ball
S_20140426_1809_05_013_00.jpg,bed marker,floor marker
S_20140426_1809_05_013_05.jpg,color paper,kick ball
S_20131003_1116_01_004_00.jpg,green trees,red balloon
S_20131003_1116_01_004_10.jpg,soft bear,hard bear
S_20131003_1116_01_004_25.jpg,hug bear,bounce ball
S_20130424_0607_01_143_15.jpg,play mat,sleep grass
S_20131003_1116_03_008_10.jpg,bear coat,duck coat
S_20131003_1116_03_008_15.jpg,baby smile,bear cry
S_20141102_2416_01_178_05.jpg,blue tractor,red horse
S_20140125_1508_03_178_00.jpg,pat cat,throw ball
S_20130731_0914_01_038_00.jpg,baby mirror,baby window
S_20130522_0705_04_025_00.jpg,touch tree,climb slide
S_20130522_0705_04_025_10.jpg,two birds,one bird
S_20130811_0925_03_026_00.jpg,crush can,drink plant
S_20130811_0925_03_026_05.jpg,grab can,drop leaf
S_20130608_0722_02_018_05.jpg,dark room,bright room
S_20130602_0716_07_050_00.jpg,get ball,drop stick
S_20141106_2420_01_011_00.jpg,hit keys,strum keys
S_20140409_1723_02_095_00.jpg,hold cup,drop cup
S_20140409_1723_02_095_05.jpg,orange slice,banana slice
S_20130822_1005_02_011_05.jpg,close book,open book
S_20130901_1015_01_086_05.jpg,touch tree,hold tree
S_20130529_0712_03_155_05.jpg,peek mirror,hide mirror
S_20130529_0712_03_155_10.jpg,wash hands,dry hands
S_20130529_0712_03_155_15.jpg,turn tap,eat soap
S_20130922_1105_03_058_10.jpg,spin top,throw top
S_20130922_1105_03_058_15.jpg,hold toy,drop toy
S_20140406_1720_03_057_00.jpg,count coins,throw coins
S_20130626_0809_01_044_00.jpg,blow bubbles,pop bubbles
S_20130626_0809_01_044_15.jpg,turn page,stack blocks
S_20130501_0614_01_023_00.jpg,green toy,red toy
S_20130501_0614_01_023_20.jpg,can roll,toy fall
S_20130824_1007_02_077_00.jpg,happy baby,sad robot
S_20130824_1007_02_077_05.jpg,find robot,hide teddy
S_20130619_0802_02_024_00.jpg,soft cat,soft fish
S_20131003_1116_02_041_00.jpg,train book,plane book
S_20141026_2409_04_085_05.jpg,rain wet,sun warm
S_20130706_0819_04_030_05.jpg,read book,throw book
S_20140418_1801_02_246_00.jpg,open lid,close box
S_20140125_1508_01_049_05.jpg,play music,fix teeth
S_20140413_1727_01_150_00.jpg,fit cow,drop cow
S_20130529_0712_02_083_00.jpg,kitty book,puppy book
S_20130922_1105_05_087_00.jpg,see bush,see cat
S_20130922_1105_05_087_10.jpg,driveway sun,kitchen sun
S_20130922_1105_05_087_20.jpg,shine car,hide kitty
S_20140430_1813_06_026_00.jpg,walk outside,sit inside
S_20140430_1813_06_026_05.jpg,hold bread,drop bread
S_20130714_0827_07_140_00.jpg,rubber duck,rubber ball
S_20140426_1809_01_097_00.jpg,mice run,cat run
S_20130626_0809_06_038_05.jpg,milk drink,juice drink
S_20130428_0611_02_122_00.jpg,shoe grass,foot sky
S_20130814_0928_03_034_00.jpg,teddy eat,teddy sleep
S_20140503_1816_02_235_00.jpg,sitting down,standing up
S_20130710_0823_08_051_05.jpg,wash dishes,cook dishes
S_20130710_0823_08_051_10.jpg,clean sink,dirty cup
S_20130908_1022_02_044_00.jpg,bounce ball,throw stick
S_20140405_1719_03_297_00.jpg,car wheel,toy wheel
S_20140405_1719_03_091_15.jpg,play sand,build blocks
S_20141011_2324_05_306_05.jpg,stir bowl,pour cup
S_20141011_2324_05_306_15.jpg,hold hands,let go
S_20141009_2322_03_043_10.jpg,draw letter,erase letter
S_20130619_0802_03_003_15.jpg,read book,write book
S_20130919_1102_02_020_05.jpg,rub arm,paint wall
S_20140418_1801_01_134_00.jpg,big truck,small car
S_20140125_1508_02_033_15.jpg,sit outside,stand inside
S_20131103_1217_02_013_00.jpg,spot bag,striped bag
S_20140418_1801_01_140_00.jpg,cement truck,fire truck
S_20141018_2401_01_015_00.jpg,fit key,drop key
S_20140418_1801_02_199_05.jpg,touch face,hug chair
S_20140123_1506_04_021_10.jpg,drink cup,open box
S_20140409_1723_09_017_00.jpg,beach fun,snow fun
S_20141101_2415_01_031_10.jpg,open door,closed door
S_20130818_1001_02_149_00.jpg,happy ball,sad ball
S_20140430_1813_06_041_05.jpg,rocky path,watery path
S_20130602_0716_07_075_00.jpg,touch tree,eat tree
S_20130529_0712_04_021_10.jpg,open door,close door
S_20130529_0712_04_021_20.jpg,dark room,sunny room
S_20141009_2322_02_003_20.jpg,pick grass,throw ball
S_20140409_1723_02_097_00.jpg,cup animals,bowl animals
S_20140409_1723_02_097_05.jpg,touch cow,read book
S_20140409_1723_02_102_25.jpg,open door,close bottle
S_20140423_1806_11_039_05.jpg,eat food,play ball
S_20140423_1806_11_039_10.jpg,pick food,drop spoon
S_20130811_0925_03_034_25.jpg,play happy,sleep happy
S_20130703_0816_06_043_10.jpg,press key,throw ball
S_20140418_1801_02_141_00.jpg,hold candle,drop candle
S_20130922_1105_05_076_05.jpg,sunny road,cloudy road
S_20141009_2322_03_075_10.jpg,wear shoes,wear hat
S_20131110_1224_02_030_00.jpg,tap on,light off
S_20130928_1111_06_008_05.jpg,switch off,turn door
S_20140123_1506_04_033_15.jpg,fork food,drop food
S_20140420_1803_04_059_00.jpg,color paper,tear paper
S_20130424_0607_01_018_05.jpg,cat tail,dog tail
S_20130608_0722_03_018_00.jpg,sand dig,grass dig
S_20141023_2406_05_010_05.jpg,play drums,roll ball
S_20130808_0922_01_008_05.jpg,read kitty,hide kitty
S_20141011_2324_05_351_20.jpg,mix dough,pour juice
S_20130728_0911_04_054_05.jpg,sit grass,stand grass
S_20130911_1025_06_023_10.jpg,banana slice,apple slice
S_20130605_0719_03_023_00.jpg,touch foot,kick ball
S_20130605_0719_03_023_10.jpg,touch wipes,grab sock
S_20141108_2422_02_150_00.jpg,drive car,park bike
S_20131003_1116_03_139_15.jpg,sit down,stand up
S_20130706_0819_03_029_10.jpg,basket full,basket empty
S_20130706_0819_03_029_15.jpg,hold pin,drop pin
S_20130526_0709_04_121_00.jpg,book train,car train
S_20140119_1502_03_014_00.jpg,log outside,leaf inside
S_20140503_1816_04_010_00.jpg,write book,read shoe
S_20130901_1015_04_212_00.jpg,swim fish,fly fish
S_20130901_1015_04_212_05.jpg,big boat,small car
S_20130901_1015_04_212_10.jpg,tie shoe,wear hat
S_20140430_1813_06_183_00.jpg,point stick,catch bird
S_20130522_0705_02_113_00.jpg,clap hands,stop hands
