instance_id,positive_phrase,negative_phrase,image,image_tag
93,stay home,go play,S_20130915_1029_02_064_00_neg.jpeg,negative
94,car ride,bike ride,S_20140430_1813_04_034_25.jpg,positive
94,car ride,bike ride,S_20140430_1813_04_034_25_neg.jpeg,negative
95,big crack,smooth road,S_20140119_1502_03_153_00.jpg,positive
95,big crack,smooth road,S_20140119_1502_03_153_00_neg.jpeg,negative
96,cut paper,tear paper,S_20141023_2406_03_197_00.jpg,positive
96,cut paper,tear paper,S_20141023_2406_03_197_00_neg.jpeg,negative
97,sleepy time,play time,S_20140423_1806_03_074_00.jpg,positive
97,sleepy time,play time,S_20140423_1806_03_074_00_neg.jpeg,negative
98,banana bowl,bread bowl,S_20140420_1803_03_088_00.jpg,positive
98,banana bowl,bread bowl,S_20140420_1803_03_088_00_neg.jpeg,negative
99,sand foot,water foot,S_20140409_1723_08_097_00.jpg,positive
99,sand foot,water foot,S_20140409_1723_08_097_00_neg.jpeg,negative
100,touch dirt,wash dirt,S_20130602_0716_07_077_00.jpg,positive
100,touch dirt,wash dirt,S_20130602_0716_07_077_00_neg.jpeg,negative
101,blue hat,red shirt,S_20130529_0712_02_064_00.jpg,positive
101,blue hat,red shirt,S_20130529_0712_02_064_00_neg.jpeg,negative
102,blue icing,green plate,S_20141019_2402_04_266_20.jpg,positive
102,blue icing,green plate,S_20141019_2402_04_266_20_neg.jpeg,negative
103,bike stop,car stop,S_20140405_1719_03_343_05.jpg,positive
103,bike stop,car stop,S_20140405_1719_03_343_05_neg.jpeg,negative
104,yellow coat,green coat,S_20130814_0928_03_208_00.jpg,positive
104,yellow coat,green coat,S_20130814_0928_03_208_00_neg.jpeg,negative
105,basket full,basket empty,S_20130417_0600_01_013_20.jpg,positive
105,basket full,basket empty,S_20130417_0600_01_013_20_neg.jpeg,negative
106,soft toy,hard toy,S_20130417_0600_01_013_30.jpg,positive
106,soft toy,hard toy,S_20130417_0600_01_013_30_neg.jpeg,negative
107,tree green,cloudy sky,S_20130519_0702_02_075_00.jpg,positive
107,tree green,cloudy sky,S_20130519_0702_02_075_00_neg.jpeg,negative
108,happy lady,sad lady,S_20130519_0702_02_075_15.jpg,positive
108,happy lady,sad lady,S_20130519_0702_02_075_15_neg.jpeg,negative
109,blue curtain,green curtain,S_20130905_1019_01_091_05.jpg,positive
109,blue curtain,green curtain,S_20130905_1019_01_091_05_neg.jpeg,negative
110,dig dirt,climb tree,S_20130622_0805_02_058_00.jpg,positive
110,dig dirt,climb tree,S_20130622_0805_02_058_00_neg.jpeg,negative
111,plant grow,rock big,S_20130622_0805_03_018_00.jpg,positive
111,plant grow,rock big,S_20130622_0805_03_018_00_neg.jpeg,negative
112,open door,closed door,S_20130901_1015_01_072_05.jpg,positive
112,open door,closed door,S_20130901_1015_01_072_05_neg.jpeg,negative
113,walk path,fly bird,S_20130417_0600_02_059_10.jpg,positive
113,walk path,fly bird,S_20130417_0600_02_059_10_neg.jpeg,negative
114,empty road,busy road,S_20130417_0600_02_059_25.jpg,positive
114,empty road,busy road,S_20130417_0600_02_059_25_neg.jpeg,negative
115,see cupcake,see cookie,S_20130808_0922_02_059_05.jpg,positive
115,see cupcake,see cookie,S_20130808_0922_02_059_05_neg.jpeg,negative
116,clean sink,dirty floor,S_20140420_1803_01_406_00.jpg,positive
116,clean sink,dirty floor,S_20140420_1803_01_406_00_neg.jpeg,negative
117,hug bear,kiss cat,S_20130814_0928_01_033_25.jpg,positive
117,hug bear,kiss cat,S_20130814_0928_01_033_25_neg.jpeg,negative
118,paint art,open door,S_20140125_1508_02_093_00.jpg,positive
118,paint art,open door,S_20140125_1508_02_093_00_neg.jpeg,negative
119,talk loud,sleep quiet,S_20131024_1207_04_050_05.jpg,positive
119,talk loud,sleep quiet,S_20131024_1207_04_050_05_neg.jpeg,negative
120,color mat,gray mat,S_20130901_1015_05_010_00.jpg,positive
120,color mat,gray mat,S_20130901_1015_05_010_00_neg.jpeg,negative
121,see kitty,miss puppy,S_20130829_1012_03_028_10.jpg,positive
121,see kitty,miss puppy,S_20130829_1012_03_028_10_neg.jpeg,negative
122,green apple,red apple,S_20130922_1105_01_068_00.jpg,positive
122,green apple,red apple,S_20130922_1105_01_068_00_neg.jpeg,negative
123,dry grass,wet grass,S_20130417_0600_02_047_05.jpg,positive
123,dry grass,wet grass,S_20130417_0600_02_047_05_neg.jpeg,negative
124,push soap,drink juice,S_20130622_0805_06_031_00.jpg,positive
124,push soap,drink juice,S_20130622_0805_06_031_00_neg.jpeg,negative
125,book shelf,cupboard full,S_20141011_2324_05_021_05.jpg,positive
125,book shelf,cupboard full,S_20141011_2324_05_021_05_neg.jpeg,negative
126,sit floor,stand floor,S_20140406_1720_02_024_10.jpg,positive
126,sit floor,stand floor,S_20140406_1720_02_024_10_neg.jpeg,negative
127,markers spill,bubbles spill,S_20140406_1720_04_123_00.jpg,positive
127,markers spill,bubbles spill,S_20140406_1720_04_123_00_neg.jpeg,negative
128,count owls,count lamb,S_20130529_0712_03_009_00.jpg,positive
128,count owls,count lamb,S_20130529_0712_03_009_00_neg.jpeg,negative
129,tiger roar,panda roar,S_20130706_0819_04_102_00.jpg,positive
129,tiger roar,panda roar,S_20130706_0819_04_102_00_neg.jpeg,negative
130,see flowers,see birds,S_20131024_1207_03_113_10.jpg,positive
130,see flowers,see birds,S_20131024_1207_03_113_10_neg.jpeg,negative
131,sit chair,stand chair,S_20130529_0712_01_005_00.jpg,positive
131,sit chair,stand chair,S_20130529_0712_01_005_00_neg.jpeg,negative
132,mix green,paint blue,S_20141019_2402_04_140_00.jpg,positive
132,mix green,paint blue,S_20141019_2402_04_140_00_neg.jpeg,negative
133,blow bubbles,catch bubbles,S_20130608_0722_05_050_30.jpg,positive
133,blow bubbles,catch bubbles,S_20130608_0722_05_050_30_neg.jpeg,negative
134,cat walk,dog run,S_20140503_1816_05_102_00.jpg,positive
134,cat walk,dog run,S_20140503_1816_05_102_00_neg.jpeg,negative
135,sit grass,stand tree,S_20130428_0611_02_055_30.jpg,positive
135,sit grass,stand tree,S_20130428_0611_02_055_30_neg.jpeg,negative
136,reach basket,close basket,S_20140406_1720_03_118_00.jpg,positive
136,reach basket,close basket,S_20140406_1720_03_118_00_neg.jpeg,negative
137,green grass,blue sky,S_20130501_0614_02_069_00.jpg,positive
137,green grass,blue sky,S_20130501_0614_02_069_00_neg.jpeg,negative
138,read book,close box,S_20130811_0925_03_306_15.jpg,positive
138,read book,close box,S_20130811_0925_03_306_15_neg.jpeg,negative
139,stick play,rock play,S_20130626_0809_09_014_00.jpg,positive
139,stick play,rock play,S_20130626_0809_09_014_00_neg.jpeg,negative
140,sit mat,stand mat,S_20130508_0621_02_022_10.jpg,positive
140,sit mat,stand mat,S_20130508_0621_02_022_10_neg.jpeg,negative
141,big pipe,small blocks,S_20130703_0816_09_010_10.jpg,positive
141,big pipe,small blocks,S_20130703_0816_09_010_10_neg.jpeg,negative
142,read book,sing song,S_20130612_0726_03_043_00.jpg,positive
142,read book,sing song,S_20130612_0726_03_043_00_neg.jpeg,negative
143,puzzle cow,puzzle car,S_20140413_1727_01_088_05.jpg,positive
143,puzzle cow,puzzle car,S_20140413_1727_01_088_05_neg.jpeg,negative
144,green trees,red balloon,S_20131003_1116_01_004_00.jpg,positive
144,green trees,red balloon,S_20131003_1116_01_004_00_neg.jpeg,negative
145,bear coat,duck coat,S_20131003_1116_03_008_10.jpg,positive
145,bear coat,duck coat,S_20131003_1116_03_008_10_neg.jpeg,negative
146,blue tractor,red horse,S_20141102_2416_01_178_05.jpg,positive
146,blue tractor,red horse,S_20141102_2416_01_178_05_neg.jpeg,negative
147,two birds,one bird,S_20130522_0705_04_025_10.jpg,positive
147,two birds,one bird,S_20130522_0705_04_025_10_neg.jpeg,negative
148,hold cup,drop cup,S_20140409_1723_02_095_00.jpg,positive
148,hold cup,drop cup,S_20140409_1723_02_095_00_neg.jpeg,negative
149,orange slice,banana slice,S_20140409_1723_02_095_05.jpg,positive
149,orange slice,banana slice,S_20140409_1723_02_095_05_neg.jpeg,negative
150,hold toy,drop toy,S_20130922_1105_03_058_15.jpg,positive
150,hold toy,drop toy,S_20130922_1105_03_058_15_neg.jpeg,negative
151,blow bubbles,pop bubbles,S_20130626_0809_01_044_00.jpg,positive
151,blow bubbles,pop bubbles,S_20130626_0809_01_044_00_neg.jpeg,negative
152,turn page,stack blocks,S_20130626_0809_01_044_15.jpg,positive
152,turn page,stack blocks,S_20130626_0809_01_044_15_neg.jpeg,negative
153,green toy,red toy,S_20130501_0614_01_023_00.jpg,positive
153,green toy,red toy,S_20130501_0614_01_023_00_neg.jpeg,negative
154,can roll,toy fall,S_20130501_0614_01_023_20.jpg,positive
154,can roll,toy fall,S_20130501_0614_01_023_20_neg.jpeg,negative
155,find robot,hide teddy,S_20130824_1007_02_077_05.jpg,positive
155,find robot,hide teddy,S_20130824_1007_02_077_05_neg.jpeg,negative
156,kitty book,puppy book,S_20130529_0712_02_083_00.jpg,positive
156,kitty book,puppy book,S_20130529_0712_02_083_00_neg.jpeg,negative
157,rubber duck,rubber ball,S_20130714_0827_07_140_00.jpg,positive
157,rubber duck,rubber ball,S_20130714_0827_07_140_00_neg.jpeg,negative
158,milk drink,juice drink,S_20130626_0809_06_038_05.jpg,positive
158,milk drink,juice drink,S_20130626_0809_06_038_05_neg.jpeg,negative
159,wash dishes,cook dishes,S_20130710_0823_08_051_05.jpg,positive
159,wash dishes,cook dishes,S_20130710_0823_08_051_05_neg.jpeg,negative
160,clean sink,dirty cup,S_20130710_0823_08_051_10.jpg,positive
160,clean sink,dirty cup,S_20130710_0823_08_051_10_neg.jpeg,negative
161,play sand,build blocks,S_20140405_1719_03_091_15.jpg,positive
161,play sand,build blocks,S_20140405_1719_03_091_15_neg.jpeg,negative
162,spot bag,striped bag,S_20131103_1217_02_013_00.jpg,positive
162,spot bag,striped bag,S_20131103_1217_02_013_00_neg.jpeg,negative
163,cement truck,fire truck,S_20140418_1801_01_140_00.jpg,positive
163,cement truck,fire truck,S_20140418_1801_01_140_00_neg.jpeg,negative
164,beach fun,snow fun,S_20140409_1723_09_017_00.jpg,positive
164,beach fun,snow fun,S_20140409_1723_09_017_00_neg.jpeg,negative
165,open door,closed door,S_20141101_2415_01_031_10.jpg,positive
165,open door,closed door,S_20141101_2415_01_031_10_neg.jpeg,negative
166,happy ball,sad ball,S_20130818_1001_02_149_00.jpg,positive
166,happy ball,sad ball,S_20130818_1001_02_149_00_neg.jpeg,negative
167,rocky path,watery path,S_20140430_1813_06_041_05.jpg,positive
167,rocky path,watery path,S_20140430_1813_06_041_05_neg.jpeg,negative
168,cup animals,bowl animals,S_20140409_1723_02_097_00.jpg,positive
168,cup animals,bowl animals,S_20140409_1723_02_097_00_neg.jpeg,negative
169,play happy,sleep happy,S_20130811_0925_03_034_25.jpg,positive
169,play happy,sleep happy,S_20130811_0925_03_034_25_neg.jpeg,negative
170,sunny road,cloudy road,S_20130922_1105_05_076_05.jpg,positive
170,sunny road,cloudy road,S_20130922_1105_05_076_05_neg.jpeg,negative
171,cat tail,dog tail,S_20130424_0607_01_018_05.jpg,positive
171,cat tail,dog tail,S_20130424_0607_01_018_05_neg.jpeg,negative
172,sand dig,grass dig,S_20130608_0722_03_018_00.jpg,positive
172,sand dig,grass dig,S_20130608_0722_03_018_00_neg.jpeg,negative
173,banana slice,apple slice,S_20130911_1025_06_023_10.jpg,positive
173,banana slice,apple slice,S_20130911_1025_06_023_10_neg.jpeg,negative
174,touch wipes,grab sock,S_20130605_0719_03_023_10.jpg,positive
174,touch wipes,grab sock,S_20130605_0719_03_023_10_neg.jpeg,negative
175,basket full,basket empty,S_20130706_0819_03_029_10.jpg,positive
175,basket full,basket empty,S_20130706_0819_03_029_10_neg.jpeg,negative
176,write book,read shoe,S_20140503_1816_04_010_00.jpg,positive
176,write book,read shoe,S_20140503_1816_04_010_00_neg.jpeg,negative
177,big boat,small car,S_20130901_1015_04_212_05.jpg,positive
177,big boat,small car,S_20130901_1015_04_212_05_neg.jpeg,negative
178,tie shoe,wear hat,S_20130901_1015_04_212_10.jpg,positive
178,tie shoe,wear hat,S_20130901_1015_04_212_10_neg.jpeg,negative
179,point stick,catch bird,S_20140430_1813_06_183_00.jpg,positive
179,point stick,catch bird,S_20140430_1813_06_183_00_neg.jpeg,negative
180,pink flower,red flower,S_20130901_1015_04_094_00.jpg,positive
180,pink flower,red flower,S_20130901_1015_04_094_00_neg.jpeg,negative
181,yellow bottle,blue bottle,S_20131009_1122_01_057_25.jpg,positive
181,yellow bottle,blue bottle,S_20131009_1122_01_057_25_neg.jpeg,negative
182,read book,drop book,S_20130814_0928_02_033_30.jpg,positive
182,read book,drop book,S_20130814_0928_02_033_30_neg.jpeg,negative
183,red hat,green hat,S_20140123_1506_02_093_00.jpg,positive
183,red hat,green hat,S_20140123_1506_02_093_00_neg.jpeg,negative
184,red hat,blue hat,S_20140123_1506_02_093_05.jpg,positive
184,red hat,blue hat,S_20140123_1506_02_093_05_neg.jpeg,negative
185,empty road,busy road,S_20140430_1813_05_201_00.jpg,positive
185,empty road,busy road,S_20140430_1813_05_201_00_neg.jpeg,negative
186,type key,press toy,S_20140420_1803_01_266_05.jpg,positive
186,type key,press toy,S_20140420_1803_01_266_05_neg.jpeg,negative
187,red bag,blue bag,S_20130803_0917_05_038_15.jpg,positive
187,red bag,blue bag,S_20130803_0917_05_038_15_neg.jpeg,negative
188,eat cake,touch box,S_20141019_2402_04_310_00.jpg,positive
188,eat cake,touch box,S_20141019_2402_04_310_00_neg.jpeg,negative
189,cake yummy,juice yummy,S_20141019_2402_04_310_05.jpg,positive
189,cake yummy,juice yummy,S_20141019_2402_04_310_05_neg.jpeg,negative
190,orange slice,banana slice,S_20141026_2409_03_105_00.jpg,positive
190,orange slice,banana slice,S_20141026_2409_03_105_00_neg.jpeg,negative
191,paint fun,wash fun,S_20130714_0827_05_071_20.jpg,positive
191,paint fun,wash fun,S_20130714_0827_05_071_20_neg.jpeg,negative
192,yellow ball,blue ball,S_20130818_1001_02_143_00.jpg,positive
192,yellow ball,blue ball,S_20130818_1001_02_143_00_neg.jpeg,negative
193,yellow ball,yellow cup,S_20130818_1001_02_143_05.jpg,positive
193,yellow ball,yellow cup,S_20130818_1001_02_143_05_neg.jpeg,negative
194,water plants,pick flowers,S_20131110_1224_02_086_05.jpg,positive
194,water plants,pick flowers,S_20131110_1224_02_086_05_neg.jpeg,negative
